,VIN_110,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility,2020_Census_Tract,Latitude,Longitude
10898,1G1RE6E43D,KING,KENT,WA,98032,2013,CHEVROLET,VOLT,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,33,348146655,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029102.00,47.38070,-122.23741
10901,WA1VABGE5K,KING,SEATTLE,WA,98125,2019,AUDI,E-TRON,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,46,267652073,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000101.00,47.72656,-122.30253
10904,1G1RC6S55K,KING,WOODINVILLE,WA,98072,2019,CHEVROLET,VOLT,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,45,207226491,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032319.00,47.75448,-122.15545
10906,KM8HC3A63R,THURSTON,OLYMPIA,WA,98502,2024,HYUNDAI,KONA,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,22,262823291,PUGET SOUND ENERGY INC,53067011100.00,47.03779,-122.92333
10907,5YJXCBE21H,KING,SEATTLE,WA,98199,2017,TESLA,MODEL X,BATTERY ELECTRIC VEHICLE (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,36,125846276,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600.00,47.65908,-122.40092
10910,YV4BR0DK9M,KING,SEATTLE,WA,98177,2021,VOLVO,XC60,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,18,0,32,151318954,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500.00,47.72238,-122.36498
10912,KNDCR3LF8P,KITSAP,BAINBRIDGE ISLAND,WA,98110,2023,KIA,NIRO,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,23,252437363,PUGET SOUND ENERGY INC,53035090800.00,47.62728,-122.52100
10921,WVGUNPE21N,KING,AUBURN,WA,98002,2022,VOLKSWAGEN,ID.4,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,47,211411007,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030503.00,47.30661,-122.22170
10922,1C4RJXN61R,CLARK,CAMAS,WA,98607,2024,JEEP,WRANGLER,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),Not eligible due to low battery range,21,0,18,276643216,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041400.00,45.58694,-122.40199
10924,1V2BMPE82R,KING,RENTON,WA,98058,2024,VOLKSWAGEN,ID.4,BATTERY ELECTRIC VEHICLE (BEV),Eligibility unknown as battery range has not been researched,0,0,11,270775662,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031910.00,47.44660,-122.08747
